"game_id","away_team","home_team","game_type","away_score","home_score","away_yards","home_yards","total_yards","away_drives","home_drives","away_touchdowns","home_touchdowns","away_field_goals","home_field_goals","away_punts","home_punts","away_td_perc","away_fg_perc","away_pn_perc","home_td_perc","home_fg_perc","home_pn_perc","season"
"2023_16_BUF_LAC","BUF","LAC","REG",24,22,335,270,605,10,12,3,1,1,5,6,6,0.3,0.1,0.6,0.0833333333333333,0.416666666666667,0.5,2023
"2023_16_CIN_PIT","CIN","PIT","REG",11,34,370,397,767,11,12,1,4,1,2,9,6,0.0909090909090909,0.0909090909090909,0.818181818181818,0.333333333333333,0.166666666666667,0.5,2023
"2023_16_CLE_HOU","CLE","HOU","REG",36,22,422,252,674,13,13,5,3,0,0,8,10,0.384615384615385,0,0.615384615384615,0.230769230769231,0,0.769230769230769,2023
"2023_16_DAL_MIA","DAL","MIA","REG",20,22,339,375,714,9,10,2,1,2,6,5,3,0.222222222222222,0.222222222222222,0.555555555555556,0.1,0.6,0.3,2023
"2023_16_DET_MIN","DET","MIN","REG",30,24,389,390,779,11,10,4,3,1,1,6,6,0.363636363636364,0.0909090909090909,0.545454545454545,0.3,0.1,0.6,2023
"2023_16_GB_CAR","GB","CAR","REG",33,30,369,396,765,10,10,4,4,2,1,4,5,0.4,0.2,0.4,0.4,0.1,0.5,2023
"2023_16_IND_ATL","IND","ATL","REG",10,29,262,406,668,11,10,1,2,1,5,9,3,0.0909090909090909,0.0909090909090909,0.818181818181818,0.2,0.5,0.3,2023
"2023_16_JAX_TB","JAX","TB","REG",12,30,305,335,640,10,11,2,3,0,3,8,5,0.2,0,0.8,0.272727272727273,0.272727272727273,0.454545454545455,2023
"2023_16_LV_KC","LV","KC","REG",20,14,207,308,515,11,11,0,2,2,0,9,9,0,0.181818181818182,0.818181818181818,0.181818181818182,0,0.818181818181818,2023
"2023_16_NE_DEN","NE","DEN","REG",26,23,289,280,569,14,15,3,4,2,0,9,11,0.214285714285714,0.142857142857143,0.642857142857143,0.266666666666667,0,0.733333333333333,2023
"2023_16_NO_LA","NO","LAR","REG",22,18,341,458,799,10,10,3,0,0,3,7,7,0.3,0,0.7,0,0.3,0.7,2023
"2023_16_NYG_PHI","NYG","PHI","REG",25,33,292,467,759,10,12,2,4,1,4,7,4,0.2,0.1,0.7,0.333333333333333,0.333333333333333,0.333333333333333,2023
"2023_16_SEA_TEN","SEA","TEN","REG",20,17,273,287,560,7,8,2,2,2,1,3,5,0.285714285714286,0.285714285714286,0.428571428571429,0.25,0.125,0.625,2023
"2023_16_WAS_NYJ","WAS","NYJ","REG",28,30,245,381,626,15,17,4,3,0,3,11,11,0.266666666666667,0,0.733333333333333,0.176470588235294,0.176470588235294,0.647058823529412,2023
"2023_17_ARI_PHI","ARI","PHI","REG",35,31,451,275,726,8,8,4,3,2,1,2,4,0.5,0.25,0.25,0.375,0.125,0.5,2023
"2023_17_ATL_CHI","ATL","CHI","REG",17,37,307,432,739,13,13,2,4,1,3,10,6,0.153846153846154,0.0769230769230769,0.769230769230769,0.307692307692308,0.230769230769231,0.461538461538462,2023
"2023_17_CAR_JAX","CAR","JAX","REG",0,26,124,317,441,10,11,0,2,0,4,10,5,0,0,1,0.181818181818182,0.363636363636364,0.454545454545455,2023
"2023_17_CIN_KC","CIN","KC","REG",17,25,263,373,636,10,10,2,1,1,6,7,3,0.2,0.1,0.7,0.1,0.6,0.3,2023
"2023_17_DET_DAL","DET","DAL","REG",19,20,420,384,804,11,12,2,2,2,2,7,8,0.181818181818182,0.181818181818182,0.636363636363636,0.166666666666667,0.166666666666667,0.666666666666667,2023
"2023_17_GB_MIN","GB","MIN","REG",33,10,470,211,681,10,11,4,1,2,1,4,9,0.4,0.2,0.4,0.0909090909090909,0.0909090909090909,0.818181818181818,2023
"2023_17_LAC_DEN","LAC","DEN","REG",9,16,301,313,614,10,11,0,1,3,3,7,7,0,0.3,0.7,0.0909090909090909,0.272727272727273,0.636363636363636,2023
"2023_17_LA_NYG","LAR","NYG","REG",24,25,391,389,780,14,14,0,2,0,2,14,10,0,0,1,0.142857142857143,0.142857142857143,0.714285714285714,2023
"2023_17_LV_IND","LV","IND","REG",20,23,370,349,719,9,11,2,2,2,3,5,6,0.222222222222222,0.222222222222222,0.555555555555556,0.181818181818182,0.272727272727273,0.545454545454545,2023
"2023_17_MIA_BAL","MIA","BAL","REG",19,56,375,491,866,12,13,2,8,2,0,8,5,0.166666666666667,0.166666666666667,0.666666666666667,0.615384615384615,0,0.384615384615385,2023
"2023_17_NE_BUF","NE","BUF","REG",21,27,294,281,575,13,13,3,2,0,2,10,9,0.230769230769231,0,0.769230769230769,0.153846153846154,0.153846153846154,0.692307692307692,2023
"2023_17_NO_TB","NO","TB","REG",23,13,310,349,659,12,12,2,2,3,0,7,10,0.166666666666667,0.25,0.583333333333333,0.166666666666667,0,0.833333333333333,2023
"2023_17_NYJ_CLE","NYJ","CLE","REG",20,37,360,428,788,14,12,1,4,2,1,11,7,0.0714285714285714,0.142857142857143,0.785714285714286,0.333333333333333,0.0833333333333333,0.583333333333333,2023
"2023_17_PIT_SEA","PIT","SEA","REG",30,23,468,369,837,10,9,3,2,3,3,4,4,0.3,0.3,0.4,0.222222222222222,0.333333333333333,0.444444444444444,2023
"2023_17_SF_WAS","SF","WAS","REG",27,10,408,225,633,9,9,3,1,2,1,4,7,0.333333333333333,0.222222222222222,0.444444444444444,0.111111111111111,0.111111111111111,0.777777777777778,2023
"2023_17_TEN_HOU","TEN","HOU","REG",3,26,187,312,499,10,9,0,1,1,4,9,4,0,0.1,0.9,0.111111111111111,0.444444444444444,0.444444444444444,2023
"2023_18_ATL_NO","ATL","NO","REG",17,48,389,400,789,13,12,2,6,1,2,10,4,0.153846153846154,0.0769230769230769,0.769230769230769,0.5,0.166666666666667,0.333333333333333,2023
"2023_18_BUF_MIA","BUF","MIA","REG",21,14,473,275,748,10,9,2,2,0,0,8,7,0.2,0,0.8,0.222222222222222,0,0.777777777777778,2023
"2023_18_CHI_GB","CHI","GB","REG",9,17,192,432,624,6,7,0,2,3,1,3,4,0,0.5,0.5,0.285714285714286,0.142857142857143,0.571428571428571,2023
"2023_18_CLE_CIN","CLE","CIN","REG",14,31,244,328,572,13,12,2,4,0,1,11,7,0.153846153846154,0,0.846153846153846,0.333333333333333,0.0833333333333333,0.583333333333333,2023
"2023_18_DAL_WAS","DAL","WAS","REG",38,10,440,180,620,9,10,5,1,1,1,3,8,0.555555555555556,0.111111111111111,0.333333333333333,0.1,0.1,0.8,2023
