"game_id","away_team","home_team","game_type","away_score","home_score","away_yards","home_yards","total_yards","away_drives","home_drives","away_touchdowns","home_touchdowns","away_field_goals","home_field_goals","away_punts","home_punts","home_line","over_under","away_td_perc","away_fg_perc","away_pn_perc","home_td_perc","home_fg_perc","home_pn_perc","season"
"2024_02_NYJ_TEN","NYJ","TEN","REG",24,17,265,300,565,11,11,3,2,1,1,7,8,-3.5,41.5,0.272727272727273,0.0909090909090909,0.636363636363636,0.181818181818182,0.0909090909090909,0.727272727272727,2024
"2024_02_PIT_DEN","PIT","DEN","REG",13,6,251,295,546,11,12,1,0,2,2,8,10,-3,36.5,0.0909090909090909,0.181818181818182,0.727272727272727,0,0.166666666666667,0.833333333333333,2024
"2024_02_SEA_NE","SEA","NE","REG",23,20,358,310,668,12,12,2,2,3,2,7,8,-3.5,39,0.166666666666667,0.25,0.583333333333333,0.166666666666667,0.166666666666667,0.666666666666667,2024
"2024_02_SF_MIN","SF","MIN","REG",17,23,396,403,799,10,11,2,2,1,3,7,6,-4.5,46.5,0.2,0.1,0.7,0.181818181818182,0.272727272727273,0.545454545454545,2024
"2024_02_TB_DET","TB","DET","REG",20,16,216,463,679,11,12,2,1,2,3,7,8,7.5,51.5,0.181818181818182,0.181818181818182,0.636363636363636,0.0833333333333333,0.25,0.666666666666667,2024
"2024_03_BAL_DAL","BAL","DAL","REG",28,25,456,412,868,12,11,4,3,0,2,8,6,-1.5,47.5,0.333333333333333,0,0.666666666666667,0.272727272727273,0.181818181818182,0.545454545454545,2024
"2024_03_CAR_LV","CAR","LV","REG",36,22,437,333,770,13,12,5,4,3,1,5,7,5.5,40,0.384615384615385,0.230769230769231,0.384615384615385,0.333333333333333,0.0833333333333333,0.583333333333333,2024
"2024_03_CHI_IND","CHI","IND","REG",16,21,395,306,701,12,13,2,3,1,0,9,10,1.5,43,0.166666666666667,0.0833333333333333,0.75,0.230769230769231,0,0.769230769230769,2024
"2024_03_DEN_TB","DEN","TB","REG",26,7,352,223,575,10,11,2,1,4,0,4,10,6,40.5,0.2,0.4,0.4,0.0909090909090909,0,0.909090909090909,2024
"2024_03_DET_ARI","DET","ARI","REG",20,13,373,277,650,11,12,3,1,0,2,8,9,-3,51.5,0.272727272727273,0,0.727272727272727,0.0833333333333333,0.166666666666667,0.75,2024
"2024_03_GB_TEN","GB","TEN","REG",30,14,378,237,615,11,11,3,2,3,0,5,9,3,37,0.272727272727273,0.272727272727273,0.454545454545455,0.181818181818182,0,0.818181818181818,2024
"2024_03_HOU_MIN","HOU","MIN","REG",7,34,296,274,570,11,11,1,4,0,2,10,5,-2,46,0.0909090909090909,0,0.909090909090909,0.363636363636364,0.181818181818182,0.454545454545455,2024
"2024_03_JAX_BUF","JAX","BUF","REG",10,47,239,388,627,10,11,1,7,1,2,8,2,4,46.5,0.1,0.1,0.8,0.636363636363636,0.181818181818182,0.181818181818182,2024
"2024_03_KC_ATL","KC","ATL","REG",22,17,345,311,656,11,10,3,2,3,1,5,7,-3,46,0.272727272727273,0.272727272727273,0.454545454545455,0.2,0.1,0.7,2024
"2024_03_LAC_PIT","LAC","PIT","REG",10,20,166,346,512,11,10,1,2,1,1,9,7,3,36,0.0909090909090909,0.0909090909090909,0.818181818181818,0.2,0.1,0.7,2024
"2024_03_MIA_SEA","MIA","SEA","REG",3,24,205,370,575,13,12,0,3,1,1,12,8,4,41.5,0,0.0769230769230769,0.923076923076923,0.25,0.0833333333333333,0.666666666666667,2024
"2024_03_NE_NYJ","NE","NYJ","REG",3,24,139,400,539,10,8,0,3,2,1,8,4,6.5,39,0,0.2,0.8,0.375,0.125,0.5,2024
"2024_03_NYG_CLE","NYG","CLE","REG",21,15,340,219,559,15,14,4,2,0,0,11,12,6.5,38,0.266666666666667,0,0.733333333333333,0.142857142857143,0,0.857142857142857,2024
"2024_03_PHI_NO","PHI","NO","REG",15,12,462,219,681,11,10,2,1,0,2,9,7,2.5,49,0.181818181818182,0,0.818181818181818,0.1,0.2,0.7,2024
"2024_03_SF_LA","SF","LAR","REG",24,18,425,296,721,9,9,3,0,1,2,5,7,-6,44.5,0.333333333333333,0.111111111111111,0.555555555555556,0,0.222222222222222,0.777777777777778,2024
"2024_03_WAS_CIN","WAS","CIN","REG",38,33,356,436,792,9,7,6,4,1,2,2,1,7.5,46,0.666666666666667,0.111111111111111,0.222222222222222,0.571428571428571,0.285714285714286,0.142857142857143,2024
"2024_04_BUF_BAL","BUF","BAL","REG",10,35,236,427,663,11,11,1,5,1,0,9,6,2.5,46.5,0.0909090909090909,0.0909090909090909,0.818181818181818,0.454545454545455,0,0.545454545454545,2024
