"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"2024_01_ARI_BUF-ARI","0.416666666666667","0","0.272727272727273","0","0.3","0.181818181818182","0.3","0.111111111111111","0.272727272727273","0","0","0.153846153846154","0.222222222222222","0.0909090909090909","0.230769230769231","0"
"2024_01_ARI_BUF-BUF","0.2","0.25","0.363636363636364","0.0625","0.142857142857143","0.0833333333333333","0.1","0.0833333333333333","0.0909090909090909","0","0","0.166666666666667","0","0.142857142857143","0.1","0.0833333333333333"
"2024_01_BAL_KC-BAL","0.222222222222222","0","0","0.4","0.3","0.25","0","0.1","0.0666666666666667","0","0.117647058823529","0.416666666666667","0.153846153846154","0.222222222222222","0.125","0.285714285714286"
"2024_01_BAL_KC-KC","0.2","0.1","0.181818181818182","0.307692307692308","0.166666666666667","0","0","0","0","0","0.166666666666667","0","0.3","0.0833333333333333","0.285714285714286","0.2"
"2024_01_CAR_NO-CAR","0.2","0.181818181818182","0.272727272727273","0.166666666666667","0.1","0.0769230769230769","0.153846153846154","0.0909090909090909","0.0909090909090909","0.0909090909090909","0.0833333333333333","0","0.3","0.5","0.6","0.0909090909090909"
"2024_01_CAR_NO-NO","0.2","0.272727272727273","0.454545454545455","0.0909090909090909","0","0.0909090909090909","0.0555555555555556","0","0","0.0909090909090909","0.125","0","0.3","0.333333333333333","0.0833333333333333","0"
"2024_01_DAL_CLE-DAL","0","0.3","0.0909090909090909","0.363636363636364","0.333333333333333","0.166666666666667","0.272727272727273","0.0909090909090909","0.0909090909090909","0.222222222222222","0","0","0.1","0.0909090909090909","0.2","0.125"
"2024_01_DAL_CLE-CLE","0","0.222222222222222","0.0909090909090909","0.1","0.363636363636364","0.111111111111111","0","0.0909090909090909","0","0.230769230769231","0.214285714285714","0.125","0.222222222222222","0.333333333333333","0.1","0.0909090909090909"
"2024_01_DEN_SEA-DEN","0.166666666666667","0.0909090909090909","0.166666666666667","0","0.181818181818182","0.214285714285714","0.181818181818182","0.1","0.142857142857143","0","0","0","0.0833333333333333","0.3","0.142857142857143","0.230769230769231"
"2024_01_DEN_SEA-SEA","0.272727272727273","0.181818181818182","0.181818181818182","0.307692307692308","0.181818181818182","0.363636363636364","0.153846153846154","0","0.2","0.181818181818182","0.222222222222222","0.0769230769230769","0.272727272727273","0.176470588235294","0.111111111111111","0"
"2024_01_GB_PHI-GB","0.0909090909090909","0.230769230769231","0.214285714285714","0.0909090909090909","0","0.142857142857143","0.142857142857143","0","0","0.214285714285714","0.230769230769231","0.5","0.272727272727273","0.0833333333333333","0.125","0.2"
"2024_01_GB_PHI-PHI","0.0833333333333333","0.25","0.375","0.0909090909090909","0.1","0.0909090909090909","0.166666666666667","0.166666666666667","0.0909090909090909","0.1","0","0.272727272727273","0.125","0.230769230769231","0.0833333333333333","0.0909090909090909"
"2024_01_HOU_IND-HOU","0.0833333333333333","0","0","0.0769230769230769","0.222222222222222","0.2","0","0.1","0","0.181818181818182","0.0714285714285714","0.6","0.166666666666667","0","0.0909090909090909","0.125"
"2024_01_HOU_IND-IND","0.272727272727273","0.0909090909090909","0.0833333333333333","0.4","0.153846153846154","0.1","0.0555555555555556","0.153846153846154","0.166666666666667","0.1","0.25","0.0588235294117647","0.3","0.272727272727273","0","0"
"2024_01_JAX_MIA-JAX","0.25","0.0625","0.0714285714285714","0.25","0.153846153846154","0.0909090909090909","0.0909090909090909","0.181818181818182","0.0909090909090909","0.1","0.166666666666667","0.214285714285714","0.117647058823529","0","0.6","0.363636363636364"
"2024_01_JAX_MIA-MIA","0.0909090909090909","0.2","0.166666666666667","0.1","0.1","0.166666666666667","0.307692307692308","0.454545454545455","0.0833333333333333","0.363636363636364","0.363636363636364","0.2","0.1","0.153846153846154","0.142857142857143","0.3"
"2024_01_LA_DET-LAR","0.0769230769230769","0.0833333333333333","0.375","0.3","0.333333333333333","0.333333333333333","0","0.2","0","0.0769230769230769","0","0.181818181818182","0.333333333333333","0.272727272727273","0.0909090909090909","0.4"
"2024_01_LA_DET-DET","0.166666666666667","0.153846153846154","0.4","0.1","0.272727272727273","0.181818181818182","0","0.125","0.153846153846154","0.0833333333333333","0.1","0.0909090909090909","0.0666666666666667","0.4","0.166666666666667","0.0909090909090909"
"2024_01_LV_LAC-LV","0.0909090909090909","0.222222222222222","0.166666666666667","0.230769230769231","0.166666666666667","0.1","0.1","0.25","0.1","0.454545454545455","0","0.0714285714285714","0.230769230769231","0","0","0.230769230769231"
"2024_01_LV_LAC-LAC","0.111111111111111","0.307692307692308","0.166666666666667","0.363636363636364","0.1","0.0833333333333333","0.166666666666667","0.272727272727273","0.142857142857143","0.0666666666666667","0","0.25","0.1","0.166666666666667","0.142857142857143","0"
"2024_01_MIN_NYG-MIN","0.181818181818182","0.307692307692308","0.272727272727273","0.133333333333333","0.444444444444444","0","0.0909090909090909","0.25","0","0.142857142857143","0.166666666666667","0.0714285714285714","0.111111111111111","0.1","0.272727272727273","0.0666666666666667"
"2024_01_MIN_NYG-NYG","0.416666666666667","0.111111111111111","0.272727272727273","0.166666666666667","0.363636363636364","0","0.0909090909090909","0.25","0.272727272727273","0.333333333333333","0.1","0.214285714285714","0.3","0.125","0.272727272727273","0.0833333333333333"
"2024_01_NE_CIN-NE","0.166666666666667","0.0833333333333333","0.3","0.0909090909090909","0.166666666666667","0.0625","0.166666666666667","0.454545454545455","0.166666666666667","0.1","0","0.444444444444444","0","0.3","0","0.166666666666667"
"2024_01_NE_CIN-CIN","0.181818181818182","0.0769230769230769","0","0","0.307692307692308","0.0833333333333333","0.0833333333333333","0.2","0.1","0.181818181818182","0.153846153846154","0.0588235294117647","0.111111111111111","0","0.166666666666667","0.1"
